date,adj_close
10/7/1987,318.54
10/8/1987,314.16
10/9/1987,311.05
10/12/1987,309.39
10/13/1987,314.52
10/14/1987,305.23
10/15/1987,298.08
10/16/1987,282.7
10/19/1987,224.99
10/20/1987,236.83
10/21/1987,258.38
10/22/1987,248.25
10/23/1987,248.22
10/26/1987,227.67
10/27/1987,233.19
10/28/1987,233.28
10/29/1987,244.77
10/30/1987,251.79
11/2/1987,255.74
11/3/1987,250.82
11/4/1987,248.96
11/5/1987,254.48
11/6/1987,250.41
11/9/1987,243.17
11/10/1987,239
11/11/1987,241.9
11/12/1987,248.52
11/13/1987,245.64
11/16/1987,246.76
11/17/1987,243.04
11/18/1987,245.55
11/19/1987,240.05
11/20/1987,242
11/23/1987,242.99
11/24/1987,246.39
11/25/1987,244.1
11/26/1987,244.1
11/27/1987,240.34
11/30/1987,230.3
12/1/1987,232
12/2/1987,233.45
12/3/1987,225.21
12/4/1987,223.92
12/7/1987,228.76
12/8/1987,234.91
12/9/1987,238.89
12/10/1987,233.57
12/11/1987,235.32
12/14/1987,242.19
12/15/1987,242.8
12/16/1987,248.08
12/17/1987,242.98
12/18/1987,249.16
12/21/1987,249.54
12/22/1987,249.95
12/23/1987,253.16
12/24/1987,252.02
12/25/1987,252.02
12/28/1987,245.57
12/29/1987,244.59
12/30/1987,247.86
12/31/1987,247.08
1/1/1988,247.08
1/4/1988,255.94
1/5/1988,258.63
1/6/1988,258.89
1/7/1988,261.07
1/8/1988,243.4
1/11/1988,247.49
1/12/1988,245.42
1/13/1988,245.81
1/14/1988,245.88
1/15/1988,252.05
1/18/1988,251.88
1/19/1988,249.32
1/20/1988,242.63
1/21/1988,243.14
1/22/1988,246.5
1/25/1988,252.17
1/26/1988,249.57
1/27/1988,249.38
1/28/1988,253.29
1/29/1988,257.07
2/1/1988,255.04
2/2/1988,255.57
2/3/1988,252.21
2/4/1988,252.21
2/5/1988,250.96
2/8/1988,249.1
2/9/1988,251.72
2/10/1988,256.66
2/11/1988,255.95
2/12/1988,257.63
2/15/1988,257.63
2/16/1988,259.83
2/17/1988,259.21
2/18/1988,257.91
2/19/1988,261.61
2/22/1988,265.64
2/23/1988,265.02
2/24/1988,264.43
2/25/1988,261.58
2/26/1988,262.46
2/29/1988,267.82
3/1/1988,267.72
3/2/1988,267.98
3/3/1988,267.88
3/4/1988,267.3
3/7/1988,267.38
3/8/1988,269.43
3/9/1988,269.06
3/10/1988,263.84
3/11/1988,264.94
3/14/1988,266.37
3/15/1988,266.13
3/16/1988,268.85
3/17/1988,271.22
3/18/1988,271.12
3/21/1988,268.74
3/22/1988,268.84
3/23/1988,268.91
3/24/1988,263.35
3/25/1988,258.51
3/28/1988,258.06
3/29/1988,260.07
3/30/1988,258.07
3/31/1988,258.89
4/1/1988,258.89
4/4/1988,256.09
4/5/1988,258.51
4/6/1988,265.49
